brandname,quarter
AllState,halftime
America First Credit Union,halftime
CBS,halftime
E.L.F. Cosmotics,halftime
Etsy,halftime
Ford,halftime
NFL,halftime
Paramount+,halftime
Paramount+,quarter 2
Pluto TV,halftime
Pluto TV,quarter 3
oikos,halftime
Apple Music,quarter 1
BetMgM,quarter 1
BMW,quarter 1
CeraVe,quarter 1
Kawasaki,quarter 1
DoorDash,quarter 4
Homes.com,quarter 4
Apartments.com,quarter 1
Bass Pro Shops and Cabela's,quarter 2
Booking.com,quarter 2
Bud Light,quarter 3
Budweiser,quarter 4
Coors Light,quarter 2
Carl's Junior,quarter 3
CrowdStrike,quarter 2
Doritos,quarter 3
Discover Credit Card,overtime
Disney,quarter 4
Dove,quarter 1
Drumstick,quarter 3
Dunkin',quarter 2
E*Trade,quarter 2
FanDuel,quarter 2
Foundation to Combat Antisemitism (FCAS),quarter 2
FX and Hulu,quarter 2
Google,quarter 2
He Gets Us,quarter 2
Hyundai,quarter 1
Hellmann's,quarter 2
Kia,quarter 4
Kungfu Panda,overtime
Lindt USA,quarter 1
Michelob ULTRA,quarter 1
M&M's,quarter 1
MGM,quarter 1
Monkeyman,overtime
Microsoft,quarter 4
Mountain Dew,quarter 1
NERDS Gummy,quarter 2
Oreo,quarter 2
Pfizer,quarter 3
Popeyes,quarter 1
Progressive,quarter 4
Poppi,quarter 2
Pringles,quarter 1
Reese's,quarter 2
Robert F. Kennedy Jr. Campaign,quarter 2
Skechers,quarter 3
Snapchat,quarter 2
Snapchat,quarter 4
Smiths,halftime
Squarespace,quarter 3
Starry,quarter 2
State Farm,quarter 2
T-Mobile,quarter 2
T-Mobile,quarter 4
TurboTax,quarter 2
Toyota Tacoma,quarter 3
Temu,quarter 2
Universal,quarter 1
Uber Eats,quarter 3
Verizon,quarter 3
Volkswagen USA,quarter 3
YouTube TV,quarter 1
aws,overtime
balance of nature,quarter 4
best foods,quarter 2
big o tires,quarter 4
century studios,quarter 1
chartway credit union,halftime
christianity,quarter 1
progressive,overtime
progressive,quarter 4
dareful handle,quarter 3
dazn,quarter 3
deadpool,quarter 1
despicable me 4,quarter 1
dev patel,overtime
dina mita,quarter 3
"dove, m&ms, popeyes",quarter 1
dreamworks,overtime
frito-lay,quarter 3
gift mode,halftime
goose strong,quarter 4
hate.org,quarter 2
hello fresh,halftime
hoka,halftime
if,overtime
keke palmer,halftime
lindor,quarter 1
"martin lawrence, shannon sharpe",halftime
"meghan trainor, suits cast",halftime
morgan stanley,quarter 2
mountain america,quarter 4
navy,halftime
ncis,quarter 3
pizza hut,quarter 1
silence,quarter 2
silk,halftime
sonic the hedgehog 2,quarter 2
spectrum,quarter 4
stand up to jewish hate,quarter 2
stok,halftime
strongvw,quarter 4
sunday ticket,quarter 1
twisters,quarter 2
uefa,quarter 4
uefa champions league,quarter 4
ultra beer,quarter 1
us navy,halftime
veozah,quarter 1
"victoria beckem, davis bechem, usher",quarter 3
wicked,quarter 1
yeezy,halftime